Abbr | NLP | Start | | | End | |
LAGER | 488 | 31 | Dec | 1803 | 30 | Jun | 1894
LSIR |236 | 2 | July | 1754 | 21 | Aug | 1809
LSIR |268 | 28 | Aug | 1809 | 28 | Dec | 1818
LSIR |193 | 4 | Jan | 1819 | 3 | June | 1866
LEMR | 76 | 3 | Jan | 1807 | 31 | Dec | 1900
LECH | 172 | 6 | Jan | 1827 | 24 | Sept | 1864
LECH | 173 | 1 | Oct | 1864 | 29 | Dec | 1900
LVMR | 81 | 5 | Jul | 1811 | 31 | Dec | 1900
LINP | 77 | 27 | Nov | 1842 | 8 | Jan | 1843
LINP | 78 | 15 | Jan | 1843 | 27 | Aug | 1848
LINP | 79 | 14 | Jan | 1849 | 31 | Dec | 1900
LNDH | 80 | 17 | Sep | 1836 | 6 | Oct | 1839
MRTM | 501 | 17 | Oct | 1828 | 23 | May | 1829
MRTM | 83 | 30 | May | 1829 | 26 | Aug | 1848
MRTM | 84 | 2 | Sep | 1848 | 28 | Oct | 1848
MCLN | 82 | 1 | Jan | 1801 | 2 | Mar | 1865
MOPT | 175 | 1 | Jan | 1801 | 1 | Jan | 1803
MOPT | 174 | 8 | Jan | 1803 | 31 | Dec | 1900
NECT | 74 | 1 | Jan | 1803 | 27 | Jun | 1884
NECT | 100 | 4 | Jul | 1884 | 29 | Dec | 1900
NRWC | 85 | 4 | Oct | 1827 | 29 | Dec | 1900
NREC | 86 | 1 | Jan | 1870 | 31 | Dec | 1900
NRLR | 87 | 21 | Oct | 1837 | 23 | May | 1840
NRLR | 101 | 30 | May | 1840 | 19 | Dec | 1840
NRSR | 88 | 6 | Jan | 1838 | 23 | Nov | 1844
NRSR | 98 | 20 | Mar | 1852 | 1 | May | 1852
NRSR | 99 | 8 | May | 1852 | 27 | Nov | 1852
NRSR | 102 | 30 | Nov | 1844 | 13 | Mar | 1852
NOGN | 176 | 4 | Jan | 1849 | 29 | Dec | 1900
ODFW | 89 | 5 | Jan | 1839 | 10 | Dec | 1842
OPTE | 90 | 4 | Nov | 1838 | 30 | Jun | 1839
PMGZ | 92 | 7 | Feb | 1865 | 31 | Dec | 1900
PMGU | 93 | 9 | Jul | 1831 | 26 | Dec | 1835
PNCH | 94 | 10 | Feb | 1844 | 30 | Dec | 1893
RDNP | 95 | 5 | May | 1850 | 9 | Feb | 1851
RDNP | 96 | 16 | Feb | 1851 | 30 | Dec | 1900
COGE | 179 | 2 | July | 1803 | 10 | Dec | 1803
COGE | 177 | 16 | Mar | 1811 | 29 | Aug | 1835
COGE | 178 | 4 | Sept | 1835 | 29 | Dec | 1848
COGE | 180 | 5 | Jan | 1849 | 27 | Dec | 1900
SHIN | 490 | 11 | Dec | 1819 | 2 | Dec | 1820
SHIN | 491 | 9 | Dec | 1820 | 16 | Mar | 1839
SHIN | 181 | 23 | Mar | 1839 | 31 | Dec | 1900
SNSR | 97 | 19 | Jan | 1840 | 12 | Jul | 1840
SDLN | 183 | 21 | May | 1827 | 31 | Dec | 1900
STGY | 184 | 15 | July | 1869 | 29 | Dec | 1900
TEFP | 103 | 1 | Jan | 1807 | 29 | Dec | 1900
WMCF | 104 | 1 | May | 1869 | 31 | Dec | 1900
WOJL | 150 | 3 | Jan | 1822 | 26 | Dec | 1896
WRWA | 185 | 11 | Mar | 1854 | 22 | Aug | 1857
WRWA | 496 | 29 | Aug | 1857 | 29 | Dec | 1900
YOHD | 186 | 3 | Jan | 1801 | 2 | Nov | 1811
YOHD | 497 | 9 | Nov | 1811 | 24 | July | 1813
YOHD | 498 | 31 | July | 1813 | 21 | Oct | 1854
YOHD | 499 | 28 | Oct | 1854 | 31 | Dec | 1889
YOHD | 500 | 1 | Jan | 1890 | 29 | Sept | 1900
